city_from_name,city_to_name,distance
Dusseldorf,Zaragoza,1214.4772
Dusseldorf,Venlo,47.3876
Dusseldorf,Bratislava,819.2894
Dusseldorf,Hamburg,339.2215
Dusseldorf,Rome,1125.029
Dusseldorf,Lille,269.0769
Dusseldorf,Liege,106.3716
Dusseldorf,Warsaw,992.3709
Dusseldorf,Paris,413.6191
Dusseldorf,Lyon,624.6864
Dusseldorf,Marseille,887.8947
Dusseldorf,Bordeaux,896.2065
Dusseldorf,Milan,665.0376
Dusseldorf,Berlin,477.3717
Dusseldorf,Madrid,1448.2241
Dusseldorf,Vienna,768.3073
Dusseldorf,Munich,487.5926
Dusseldorf,Amsterdam,182.1019
Dusseldorf,Stockholm,1149.3691
Dusseldorf,Copenhagen,627.7653
Dusseldorf,Barcelona,1149.4065
Dusseldorf,Cologne,34.4291
Dusseldorf,Athens,1984.437
Dusseldorf,Bucharest,1625.1608
Dusseldorf,Budapest,980.9822
Dusseldorf,Naples,1290.0187
Dusseldorf,Lisbon,1865.7471
Dusseldorf,Turin,687.985
Dusseldorf,Hanover,241.017
Dusseldorf,Malmö,638.922
Dusseldorf,Helsinki,1506.2793
Dusseldorf,Prague,554.9521
Dusseldorf,Valencia,1420.0225
Dusseldorf,Bremen,248.4044
Dusseldorf,Porto,1626.5104
Zaragoza,Venlo,1208.4067
Zaragoza,Bratislava,1588.623
Zaragoza,Hamburg,1551.5661
Zaragoza,Rome,1110.3378
Zaragoza,Lille,1043.724
Zaragoza,Liege,1116.0416
Zaragoza,Warsaw,2030.693
Zaragoza,Paris,839.2165
Zaragoza,Lyon,647.847
Zaragoza,Marseille,545.3384
Zaragoza,Bordeaux,355.1412
Zaragoza,Milan,916.383
Zaragoza,Berlin,1616.8146
Zaragoza,Madrid,274.1376
Zaragoza,Vienna,1539.7663
Zaragoza,Munich,1217.1632
Zaragoza,Amsterdam,1269.1074
Zaragoza,Stockholm,2363.4114
Zaragoza,Copenhagen,1841.379
Zaragoza,Barcelona,257.0251
Zaragoza,Cologne,1194.4688
Zaragoza,Athens,2138.3667
Zaragoza,Bucharest,2210.0925
Zaragoza,Budapest,1704.3119
Zaragoza,Naples,1269.832
Zaragoza,Lisbon,774.9704
Zaragoza,Turin,790.531
Zaragoza,Hanover,1436.4563
Zaragoza,Malmö,1851.0339
Zaragoza,Helsinki,2710.6631
Zaragoza,Prague,1508.5357
Zaragoza,Valencia,246.0864
Zaragoza,Bremen,1462.8167
Zaragoza,Porto,648.5823
Venlo,Bratislava,866.6269
Venlo,Hamburg,354.9956
Venlo,Rome,1160.8464
Venlo,Lille,232.4003
Venlo,Liege,92.4928
Venlo,Warsaw,1031.3584
Venlo,Paris,392.9249
Venlo,Lyon,634.0662
Venlo,Marseille,902.042
Venlo,Bordeaux,883.3809
Venlo,Milan,696.3485
Venlo,Berlin,512.8188
Venlo,Madrid,1436.9241
Venlo,Vienna,815.6854
Venlo,Munich,532.4769
Venlo,Amsterdam,139.2635
Venlo,Stockholm,1159.0472
Venlo,Copenhagen,639.4113
Venlo,Barcelona,1153.4178
Venlo,Cologne,75.8455
Venlo,Athens,2029.5726
Venlo,Bucharest,1672.4754
Venlo,Budapest,1028.3023
Venlo,Naples,1328.0246
Venlo,Lisbon,1846.475
Venlo,Turin,712.3703
Venlo,Hanover,270.062
Venlo,Malmö,652.4192
Venlo,Helsinki,1521.8218
Venlo,Prague,601.1965
Venlo,Valencia,1418.7254
Venlo,Bremen,260.756
Venlo,Porto,1603.9511
Bratislava,Hamburg,781.0735
Bratislava,Rome,784.9334
Bratislava,Lille,1054.5937
Bratislava,Liege,880.9654
Bratislava,Warsaw,534.804
Bratislava,Paris,1093.9242
Bratislava,Lyon,970.4925
Bratislava,Marseille,1059.6431
Bratislava,Bordeaux,1403.4051
Bratislava,Milan,673.8443
Bratislava,Berlin,552.9516
Bratislava,Madrid,1862.1797
Bratislava,Vienna,55.1533
Bratislava,Munich,411.7316
Bratislava,Amsterdam,987.7402
Bratislava,Stockholm,1245.1757
Bratislava,Copenhagen,894.1859
Bratislava,Barcelona,1397.414
Bratislava,Cologne,796.365
Bratislava,Athens,1250.4735
Bratislava,Bucharest,805.9377
Bratislava,Budapest,161.8264
Bratislava,Naples,844.0198
Bratislava,Lisbon,2354.0837
Bratislava,Turin,798.6767
Bratislava,Hanover,704.2409
Bratislava,Malmö,875.8775
Bratislava,Helsinki,1429.6227
Bratislava,Prague,291.2472
Bratislava,Valencia,1699.4885
Bratislava,Bremen,802.3812
Bratislava,Porto,2170.9236
Hamburg,Rome,1309.179
Hamburg,Lille,575.0572
Hamburg,Liege,443.1614
Hamburg,Warsaw,758.5587
Hamburg,Paris,747.9185
Hamburg,Lyon,943.0273
Hamburg,Marseille,1189.9889
Hamburg,Bordeaux,1235.3496
Hamburg,Milan,901.2353
Hamburg,Berlin,254.6944
Hamburg,Madrid,1787.4018
Hamburg,Vienna,743.8643
Hamburg,Munich,612.2829
Hamburg,Amsterdam,367.2448
Hamburg,Stockholm,812.0226
Hamburg,Copenhagen,289.9676
Hamburg,Barcelona,1473.6254
Hamburg,Cologne,357.1486
Hamburg,Athens,2025.2207
Hamburg,Bucharest,1547.9444
Hamburg,Budapest,928.2328
Hamburg,Naples,1449.0449
Hamburg,Lisbon,2201.4676
Hamburg,Turin,958.1984
Hamburg,Hanover,132.0362
Hamburg,Malmö,299.8548
Hamburg,Helsinki,1167.5065
Hamburg,Prague,491.0931
Hamburg,Valencia,1751.9607
Hamburg,Bremen,95.4791
Hamburg,Porto,1958.0004
Rome,Lille,1211.1302
Rome,Liege,1107.929
Rome,Warsaw,1319.6796
Rome,Paris,1108.5886
Rome,Lyon,749.8862
Rome,Marseille,604.0216
Rome,Bordeaux,1106.8508
Rome,Milan,477.3222
Rome,Berlin,1183.0545
Rome,Madrid,1366.4467
Rome,Vienna,765.5193
Rome,Munich,697.5485
Rome,Amsterdam,1297.8466
Rome,Stockholm,1977.3389
Rome,Copenhagen,1533.9085
Rome,Barcelona,859.9884
Rome,Cologne,1090.6475
Rome,Athens,1053.5083
Rome,Bucharest,1141.5506
Rome,Budapest,810.5965
Rome,Naples,188.7287
Rome,Lisbon,1866.532
Rome,Turin,524.436
Rome,Hanover,1183.4477
Rome,Malmö,1525.2925
Rome,Helsinki,2204.2242
Rome,Prague,922.9972
Rome,Valencia,1118.7306
Rome,Bremen,1273.3157
Rome,Porto,1758.1663
Lille,Liege,177.5529
Lille,Warsaw,1261.4372
Lille,Paris,204.8496
Lille,Lyon,558.1464
Lille,Marseille,834.5826
Lille,Bordeaux,699.6873
Lille,Milan,733.8784
Lille,Berlin,744.9913
Lille,Madrid,1251.5675
Lille,Vienna,1001.0708
Lille,Munich,677.1062
Lille,Amsterdam,231.1954
Lille,Stockholm,1357.4387
Lille,Copenhagen,847.3082
Lille,Barcelona,1030.8249
Lille,Cologne,276.7793
Lille,Athens,2153.58
Lille,Bucharest,1857.0525
Lille,Budapest,1215.7651
Lille,Naples,1391.226
Lille,Lisbon,1636.4555
Lille,Turin,708.8031
Lille,Hanover,501.9357
Lille,Malmö,863.6312
Lille,Helsinki,1731.7666
Lille,Prague,809.6745
Lille,Valencia,1269.8705
Lille,Bremen,479.6218
Lille,Porto,1386.9211
Liege,Warsaw,1089.8197
Liege,Paris,307.2646
Liege,Lyon,546.2179
Liege,Marseille,817.1268
Liege,Bordeaux,792.7393
Liege,Milan,635.8256
Liege,Berlin,580.017
Liege,Madrid,1345.7935
Liege,Vienna,828.0363
Liege,Munich,517.1005
Liege,Amsterdam,197.927
Liege,Stockholm,1250.3499
Liege,Copenhagen,729.8537
Liege,Barcelona,1062.2681
Liege,Cologne,103.0528
Liege,Athens,2008.8628
Liege,Bucharest,1685.3976
Liege,Budapest,1042.5622
Liege,Naples,1280.3831
Liege,Lisbon,1759.8255
Liege,Turin,639.8223
Liege,Hanover,347.2342
Liege,Malmö,742.0781
Liege,Helsinki,1610.6679
Liege,Prague,632.1718
Liege,Valencia,1326.3454
Liege,Bremen,350.31
Liege,Porto,1520.1454
Warsaw,Paris,1376.6802
Warsaw,Lyon,1384.9215
Warsaw,Marseille,1534.6302
Warsaw,Bordeaux,1788.2674
Warsaw,Milan,1149.4642
Warsaw,Berlin,523.8994
Warsaw,Madrid,2297.8442
Warsaw,Vienna,559.1571
Warsaw,Munich,816.0497
Warsaw,Amsterdam,1101.3447
Warsaw,Stockholm,811.4601
Warsaw,Copenhagen,676.8236
Warsaw,Barcelona,1870.1057
Warsaw,Cologne,986.9986
Warsaw,Athens,1597.0905
Warsaw,Bucharest,943.3275
Warsaw,Budapest,546.5441
Warsaw,Naples,1369.3514
Warsaw,Lisbon,2768.9663
Warsaw,Turin,1264.7321
Warsaw,Hanover,772.4025
Warsaw,Malmö,648.9997
Warsaw,Helsinki,915.0844
Warsaw,Prague,522.6342
Warsaw,Valencia,2173.2031
Warsaw,Bremen,834.173
Warsaw,Porto,2557.6066
Paris,Lyon,393.5762
Paris,Marseille,661.6477
Paris,Bordeaux,498.3086
Paris,Milan,642.8327
Paris,Berlin,880.4355
Paris,Madrid,1052.0368
Paris,Vienna,1038.8408
Paris,Munich,688.2662
Paris,Amsterdam,431.1714
Paris,Stockholm,1547.574
Paris,Copenhagen,1030.7479
Paris,Barcelona,830.9137
Paris,Cologne,405.6203
Paris,Athens,2101.2943
Paris,Bucharest,1877.2597
Paris,Budapest,1250.0463
Paris,Naples,1294.9374
Paris,Lisbon,1453.5704
Paris,Turin,586.3959
Paris,Hanover,654.1463
Paris,Malmö,1044.6582
Paris,Helsinki,1914.3578
Paris,Prague,886.6124
Paris,Valencia,1065.1529
Paris,Bremen,653.5159
Paris,Porto,1212.8973
Lyon,Marseille,276.8639
Lyon,Bordeaux,436.45
Lyon,Milan,341.4333
Lyon,Berlin,975.8332
Lyon,Madrid,912.9311
Lyon,Vienna,918.2506
Lyon,Munich,577.2241
Lyon,Amsterdam,735.6674
Lyon,Stockholm,1749.4739
Lyon,Copenhagen,1230.5109
Lyon,Barcelona,531.1909
Lyon,Cologne,597.1952
Lyon,Athens,1784.2604
Lyon,Bucharest,1675.7436
Lyon,Budapest,1103.5369
Lyon,Naples,938.6115
Lyon,Lisbon,1390.6951
Lyon,Turin,235.9276
Lyon,Hanover,818.0848
Lyon,Malmö,1236.3026
Lyon,Helsinki,2079.6824
Lyon,Prague,862.301
Lyon,Valencia,818.4376
Lyon,Bremen,863.1433
Lyon,Porto,1200.4324
Marseille,Bordeaux,506.4981
Marseille,Milan,388.1193
Marseille,Berlin,1185.9895
Marseille,Madrid,817.935
Marseille,Vienna,1013.8765
Marseille,Munich,722.6529
Marseille,Amsterdam,1009.821
Marseille,Stockholm,1983.2239
Marseille,Copenhagen,1471.5665
Marseille,Barcelona,338.1634
Marseille,Cologne,858.0742
Marseille,Athens,1656.8987
Marseille,Bucharest,1666.952
Marseille,Budapest,1165.7476
Marseille,Naples,783.5309
Marseille,Lisbon,1320.2925
Marseille,Turin,270.0553
Marseille,Hanover,1060.5418
Marseille,Malmö,1474.4317
Marseille,Helsinki,2294.3008
Marseille,Prague,1022.8963
Marseille,Valencia,641.2964
Marseille,Bremen,1116.7221
Marseille,Porto,1177.1382
Bordeaux,Milan,770.8902
Bordeaux,Berlin,1332.6929
Bordeaux,Madrid,554.1662
Bordeaux,Vienna,1350.3198
Bordeaux,Munich,1001.2265
Bordeaux,Amsterdam,929.0682
Bordeaux,Stockholm,2042.2945
Bordeaux,Copenhagen,1522.5537
Bordeaux,Barcelona,444.8866
Bordeaux,Cologne,880.8422
Bordeaux,Athens,2160.2761
Bordeaux,Bucharest,2107.9581
Bordeaux,Budapest,1539.351
Bordeaux,Naples,1289.0864
Bordeaux,Lisbon,983.9388
Bordeaux,Turin,652.1916
Bordeaux,Hanover,1129.5327
Bordeaux,Malmö,1534.7341
Bordeaux,Helsinki,2402.3701
Bordeaux,Prague,1269.3888
Bordeaux,Valencia,596.8858
Bordeaux,Bremen,1143.0454
Bordeaux,Porto,772.1508
Milan,Berlin,842.0343
Milan,Madrid,1190.4149
Milan,Vienna,626.7914
Milan,Munich,348.4711
Milan,Amsterdam,829.9284
Milan,Stockholm,1653.1971
Milan,Copenhagen,1161.7271
Milan,Barcelona,726.1899
Milan,Cologne,630.7762
Milan,Athens,1463.9542
Milan,Bucharest,1337.089
Milan,Budapest,788.8565
Milan,Naples,658.2928
Milan,Lisbon,1686.5107
Milan,Turin,126.2194
Milan,Hanover,769.5248
Milan,Malmö,1159.5273
Milan,Helsinki,1939.6115
Milan,Prague,646.1697
Milan,Valencia,1029.415
Milan,Bremen,846.979
Milan,Porto,1517.9006
Berlin,Madrid,1870.371
Berlin,Vienna,524.0812
Berlin,Munich,503.9817
Berlin,Amsterdam,577.5253
Berlin,Stockholm,812.0819
Berlin,Copenhagen,356.8434
Berlin,Barcelona,1499.6969
Berlin,Cologne,477.4541
Berlin,Athens,1803.4007
Berlin,Bucharest,1296.9016
Berlin,Budapest,689.3135
Berlin,Naples,1300.1679
Berlin,Lisbon,2315.2662
Berlin,Turin,927.761
Berlin,Hanover,248.6779
Berlin,Malmö,344.6811
Berlin,Helsinki,1108.6331
Berlin,Prague,279.7165
Berlin,Valencia,1793.5348
Berlin,Bremen,315.1822
Berlin,Porto,2086.7796
Madrid,Vienna,1813.0225
Madrid,Munich,1486.8578
Madrid,Amsterdam,1481.9616
Madrid,Stockholm,2595.9713
Madrid,Copenhagen,2075.5539
Madrid,Barcelona,506.922
Madrid,Cologne,1431.3403
Madrid,Athens,2375.3223
Madrid,Bucharest,2478.9272
Madrid,Budapest,1978.4494
Madrid,Naples,1516.9787
Madrid,Lisbon,503.861
Madrid,Turin,1064.4805
Madrid,Hanover,1678.1696
Madrid,Malmö,2087.1443
Madrid,Helsinki,2953.0022
Madrid,Prague,1775.2312
Madrid,Valencia,303.1546
Madrid,Bremen,1695.8825
Madrid,Porto,422.0741
Vienna,Munich,356.8202
Vienna,Amsterdam,938.5242
Vienna,Stockholm,1242.246
Vienna,Copenhagen,871.8583
Vienna,Barcelona,1351.9577
Vienna,Cologne,744.725
Vienna,Athens,1282.64
Vienna,Bucharest,857.7667
Vienna,Budapest,214.6944
Vienna,Naples,836.3706
Vienna,Lisbon,2303.6237
Vienna,Turin,750.7859
Vienna,Hanover,661.489
Vienna,Malmö,854.856
Vienna,Helsinki,1441.1217
Vienna,Prague,252.8383
Vienna,Valencia,1654.5719
Vienna,Bremen,760.5072
Vienna,Porto,2118.6102
Munich,Amsterdam,669.5848
Munich,Stockholm,1315.4317
Munich,Copenhagen,842.7707
Munich,Barcelona,1055.402
Munich,Cologne,456.6385
Munich,Athens,1497.108
Munich,Bucharest,1190.4458
Munich,Budapest,563.3073
Munich,Naples,838.5883
Munich,Lisbon,1967.9102
Munich,Turin,453.066
Munich,Hanover,489.1595
Munich,Malmö,836.6704
Munich,Helsinki,1592.0488
Munich,Prague,300.3147
Munich,Valencia,1357.9898
Munich,Bremen,583.1731
Munich,Porto,1772.5618
Amsterdam,Stockholm,1127.8689
Amsterdam,Copenhagen,623.2007
Amsterdam,Barcelona,1238.9079
Amsterdam,Cologne,214.2694
Amsterdam,Athens,2166.1367
Amsterdam,Bucharest,1791.6543
Amsterdam,Budapest,1148.5378
Amsterdam,Naples,1466.3818
Amsterdam,Lisbon,1865.6878
Amsterdam,Turin,837.695
Amsterdam,Hanover,329.9026
Amsterdam,Malmö,641.3917
Amsterdam,Helsinki,1505.6625
Amsterdam,Prague,711.7477
Amsterdam,Valencia,1490.2766
Amsterdam,Bremen,275.7071
Amsterdam,Porto,1613.4835
Stockholm,Copenhagen,522.0769
Stockholm,Barcelona,2280.6153
Stockholm,Cologne,1168.9667
Stockholm,Athens,2407.4229
Stockholm,Bucharest,1743.4813
Stockholm,Budapest,1317.8155
Stockholm,Naples,2073.8179
Stockholm,Lisbon,2993.535
Stockholm,Turin,1733.4247
Stockholm,Hanover,931.8909
Stockholm,Malmö,513.7236
Stockholm,Helsinki,397.4031
Stockholm,Prague,1054.4773
Stockholm,Valencia,2562.9057
Stockholm,Bremen,900.9919
Stockholm,Porto,2740.299
Copenhagen,Barcelona,1761.5977
Copenhagen,Cologne,646.9126
Copenhagen,Athens,2137.9173
Copenhagen,Bucharest,1576.8332
Copenhagen,Budapest,1014.3931
Copenhagen,Naples,1655.9062
Copenhagen,Lisbon,2482.2491
Copenhagen,Turin,1230.5355
Copenhagen,Hanover,412.6447
Copenhagen,Malmö,28.5562
Copenhagen,Helsinki,884.6728
Copenhagen,Prague,635.3831
Copenhagen,Valencia,2041.5891
Copenhagen,Bremen,379.6785
Copenhagen,Porto,2234.2253
Barcelona,Cologne,1123.9164
Barcelona,Athens,1881.7007
Barcelona,Bucharest,1975.6167
Barcelona,Budapest,1500.3001
Barcelona,Naples,1014.9375
Barcelona,Lisbon,1009.2834
Barcelona,Turin,606.0469
Barcelona,Hanover,1349.259
Barcelona,Malmö,1767.4935
Barcelona,Helsinki,2607.0854
Barcelona,Prague,1354.6563
Barcelona,Valencia,303.4485
Barcelona,Bremen,1392.0713
Barcelona,Porto,903.7955
Cologne,Athens,1953.7406
Cologne,Bucharest,1602.264
Cologne,Budapest,958.1807
Cologne,Naples,1255.8803
Cologne,Lisbon,1854.2463
Cologne,Turin,654.968
Cologne,Hanover,249.977
Cologne,Malmö,656.8696
Cologne,Helsinki,1521.8573
Cologne,Prague,537.3816
Cologne,Valencia,1397.1541
Cologne,Bremen,269.5176
Cologne,Porto,1617.6455
Athens,Bucharest,743.6301
Athens,Budapest,1123.8912
Athens,Naples,875.0802
Athens,Lisbon,2858.6219
Athens,Turin,1549.0911
Athens,Hanover,1933.4032
Athens,Malmö,2117.4666
Athens,Helsinki,2468.5121
Athens,Prague,1535.1602
Athens,Valencia,2096.3186
Athens,Bremen,2033.6346
Athens,Porto,2784.8857
Bucharest,Budapest,644.1819
Bucharest,Naples,1050.0488
Bucharest,Lisbon,2982.7875
Bucharest,Turin,1457.1641
Bucharest,Hanover,1493.4011
Bucharest,Malmö,1551.8008
Bucharest,Helsinki,1752.1678
Bucharest,Prague,1082.6119
Bucharest,Valencia,2252.8147
Bucharest,Bremen,1586.929
Bucharest,Porto,2841.811
Budapest,Naples,833.1768
Budapest,Lisbon,2475.3627
Budapest,Turin,915.0746
Budapest,Hanover,859.1525
Budapest,Malmö,993.655
Budapest,Helsinki,1461.2593
Budapest,Prague,444.945
Budapest,Valencia,1799.0938
Budapest,Bremen,955.9006
Budapest,Porto,2301.5311
Naples,Lisbon,2011.4245
Naples,Turin,712.4081
Naples,Hanover,1327.717
Naples,Malmö,1644.8184
Naples,Helsinki,2273.5338
Naples,Prague,1028.3156
Naples,Valencia,1253.8122
Naples,Bremen,1421.3096
Naples,Porto,1918.2794
Lisbon,Turin,1560.2914
Lisbon,Hanover,2104.223
Lisbon,Malmö,2497.1865
Lisbon,Helsinki,3366.8192
Lisbon,Prague,2247.6664
Lisbon,Valencia,762.3181
Lisbon,Bremen,2106.8852
Lisbon,Porto,274.8089
Turin,Hanover,826.4085
Turin,Malmö,1230.8575
Turin,Helsinki,2033.3663
Turin,Prague,753.3803
Turin,Valencia,909.4787
Turin,Bremen,894.3364
Turin,Porto,1392.9553
Hanover,Malmö,418.3232
Hanover,Helsinki,1275.1825
Hanover,Prague,414.2493
Hanover,Valencia,1631.3281
Hanover,Bremen,100.253
Hanover,Porto,1866.9272
Malmö,Helsinki,869.7546
Malmö,Prague,621.4254
Malmö,Valencia,2049.1881
Malmö,Bremen,391.8436
Malmö,Porto,2250.403
Helsinki,Prague,1304.033
Helsinki,Valencia,2898.0484
Helsinki,Bremen,1261.0682
Helsinki,Porto,3118.5295
Prague,Valencia,1656.6929
Prague,Bremen,511.5741
Prague,Porto,2040.6788
Valencia,Bremen,1666.6678
Valencia,Porto,724.0895
Bremen,Porto,1862.7794
Rotterdam,Dusseldorf,177.3075
Rotterdam,Zaragoza,1212.1854
Rotterdam,Venlo,130.0459
Rotterdam,Bratislava,995.7185
Rotterdam,Hamburg,414.4489
Rotterdam,Rome,1269.2365
Rotterdam,Lille,173.9644
Rotterdam,Liege,161.5622
Rotterdam,Warsaw,1135.6449
Rotterdam,Paris,373.8895
Rotterdam,Lyon,686.2599
Rotterdam,Marseille,961.635
Rotterdam,Bordeaux,871.6731
Rotterdam,Milan,797.3505
Rotterdam,Berlin,612.1444
Rotterdam,Madrid,1424.5277
Rotterdam,Vienna,945.1163
Rotterdam,Munich,659.8408
Rotterdam,Amsterdam,57.4343
Rotterdam,Stockholm,1184.1789
Rotterdam,Copenhagen,677.1951
Rotterdam,Barcelona,1184.8322
Rotterdam,Cologne,204.5198
Rotterdam,Athens,2156.6411
Rotterdam,Bucharest,1801.3393
Rotterdam,Budapest,1157.2593
Rotterdam,Naples,1440.8269
Rotterdam,Lisbon,1809.3787
Rotterdam,Turin,798.1952
Rotterdam,Hanover,363.4785
Rotterdam,Malmö,694.6911
Rotterdam,Helsinki,1560.6484
Rotterdam,Prague,726.5575
Rotterdam,Valencia,1434.1499
Rotterdam,Bremen,320.6459
